"Day","Cases"
"2022-03-29",3
"2022-03-30",1
"2022-04-01",1
"2022-04-02",3
"2022-04-03",1
"2022-04-05",1
"2022-04-06",1
"2022-04-13",1
"2022-04-14",1
"2022-04-15",1
"2022-04-16",1
"2022-04-17",1
"2022-04-18",2
"2022-04-20",4
"2022-04-27",1
"2022-04-28",1
"2022-04-29",2
"2022-05-01",2
"2022-05-02",2
"2022-05-03",1
"2022-05-04",2
"2022-05-05",1
"2022-05-10",1
"2022-05-11",1
"2022-05-13",1
"2022-05-17",1
"2022-05-20",1
"2022-05-22",1
"2022-05-23",4
"2022-05-24",1
"2022-05-25",1
"2022-05-28",2
"2022-06-01",2
"2022-06-02",1
"2022-06-03",1
"2022-06-06",1
"2022-06-07",1
"2022-06-09",1
"2022-06-11",1
"2022-06-12",1
"2022-06-13",1
"2022-06-14",1
"2022-06-16",2
"2022-06-18",3
"2022-06-20",1
"2022-06-24",1
"2022-06-26",2
"2022-06-27",2
"2022-06-28",2
"2022-06-29",1
"2022-07-01",1
"2022-07-07",1
"2022-07-08",2
"2022-07-10",1
"2022-07-12",2
"2022-07-13",2
"2022-07-14",1
"2022-07-16",1
"2022-07-17",1
"2022-07-18",1
"2022-07-23",1
"2022-07-30",1
"2022-08-01",1
"2022-08-05",1
"2022-08-09",1
"2022-08-10",1
"2022-08-13",1
"2022-08-15",2
"2022-08-17",1
"2022-08-19",1
"2022-08-21",1
"2022-08-23",1
"2022-08-24",1
"2022-08-25",1
"2022-08-29",2
"2022-09-01",1
"2022-09-02",1
"2022-09-04",1
"2022-09-05",1
"2022-09-06",1
"2022-09-07",1
"2022-09-08",2
"2022-09-10",1
"2022-09-11",1
"2022-09-13",1
"2022-09-17",1
"2022-09-18",1
"2022-09-22",2
"2022-09-25",1
"2022-09-26",2
"2022-09-27",2
"2022-09-29",1
"2022-10-01",2
"2022-10-02",3
"2022-10-04",3
"2022-10-08",1
"2022-10-09",1
"2022-10-10",1
"2022-10-11",1
"2022-10-14",1
"2022-10-16",1
"2022-10-22",1
"2022-10-25",1
"2022-10-29",1
"2022-10-30",1
"2022-11-01",2
"2022-11-02",1
"2022-11-04",2
"2022-11-05",1
"2022-11-06",1
"2022-11-07",1
"2022-11-09",2
"2022-11-10",1
"2022-11-14",2
"2022-11-15",2
"2022-11-16",1
"2022-11-19",1
"2022-11-20",2
"2022-11-27",2
"2022-11-28",1
"2022-11-29",1
"2022-12-04",1
"2022-12-07",1
"2022-12-09",2
"2022-12-13",1
"2022-12-14",3
"2022-12-15",2
"2022-12-17",1
"2022-12-21",2
"2022-12-22",2
"2022-12-23",2
"2022-12-24",2
"2022-12-27",2
"2022-12-29",1
"2023-01-02",1
"2023-01-05",1
"2023-01-06",1
"2023-01-09",1
"2023-01-11",2
"2023-01-13",1
"2023-01-14",2
"2023-01-19",1
"2023-01-21",1
"2023-01-24",2
"2023-01-26",1
"2023-01-28",2
"2023-01-29",1
"2023-01-30",1
"2023-01-31",1
"2023-02-01",3
"2023-02-02",1
"2023-02-08",1
"2023-02-10",1
"2023-02-13",1
"2023-02-17",2
"2023-02-18",1
"2023-02-23",1
"2023-02-24",1
"2023-02-27",2
"2023-03-01",1
"2023-03-02",1
"2023-03-05",1
"2023-03-06",1
"2023-03-08",1
"2023-03-09",2
"2023-03-10",1
"2023-03-11",2
"2023-03-16",1
"2023-03-17",3
"2023-03-21",1
"2023-03-23",1
"2023-03-24",2
"2023-03-26",3
"2023-03-27",1
"2023-03-29",1
"2023-03-30",3
"2023-04-04",1
"2023-04-08",3
