"Day","Contacts"
"2022-08-13",4
"2022-06-02",10
"2022-09-22",4
"2022-06-26",3
"2022-04-03",6
"2023-02-08",7
"2022-05-23",4
"2023-02-24",4
"2023-03-23",4
"2022-07-12",6
"2022-08-25",4
"2022-04-28",4
"2022-06-11",3
"2023-01-29",3
"2022-05-20",2
"2022-10-02",9
"2022-06-14",5
"2022-12-24",7
"2023-01-24",12
"2023-01-21",6
"2022-12-22",6
"2023-01-19",2
"2022-07-30",5
"2022-10-09",5
"2022-04-01",5
"2022-11-09",6
"2022-04-29",3
"2022-04-13",9
"2023-03-08",4
"2022-05-10",2
"2022-11-16",4
"2022-11-04",14
"2022-11-07",5
"2023-01-31",1
"2022-10-01",4
"2022-06-29",6
"2023-01-02",3
"2022-11-05",5
"2022-08-15",3
"2022-03-30",9
"2022-05-03",5
"2023-01-24",7
"2023-02-23",2
"2022-12-14",4
"2022-07-12",3
"2022-12-09",4
"2023-01-09",2
"2022-04-05",8
"2022-04-02",5
"2022-10-02",4
"2022-07-13",3
"2022-09-22",2
"2022-12-15",8
"2022-05-22",11
"2023-03-10",5
"2023-01-06",5
"2022-10-02",4
"2023-03-17",3
"2022-05-04",2
"2022-09-27",9
"2022-10-30",3
"2022-12-14",2
"2023-03-29",6
"2022-11-15",8
"2022-09-07",3
"2022-08-09",5
"2023-03-27",3
"2023-03-24",4
"2022-07-07",4
"2022-05-17",5
"2022-08-24",9
"2022-09-06",3
"2022-09-11",6
"2022-10-14",5
"2022-04-29",7
"2022-12-17",3
"2023-03-30",6
"2022-11-29",5
"2022-08-29",9
"2022-04-17",5
"2023-02-01",4
"2022-06-24",8
"2022-06-16",8
"2022-10-10",10
"2022-10-04",4
"2022-08-17",6
"2022-05-11",2
"2022-05-23",4
"2023-02-17",3
"2023-02-01",11
"2022-11-14",8
"2022-04-18",14
"2023-03-02",3
"2022-09-05",6
"2022-05-01",2
"2022-11-10",8
"2022-11-04",6
"2023-03-06",8
"2022-04-20",3
"2022-09-25",4
"2022-10-11",7
"2023-03-24",2
"2022-05-28",6
"2023-03-30",5
"2022-05-24",5
"2023-04-08",1
"2022-10-25",6
"2023-03-26",8
"2022-12-15",2
"2022-12-07",3
"2023-02-18",4
"2022-09-10",9
"2023-01-11",5
"2022-08-01",2
"2022-08-15",5
"2022-06-03",4
"2022-09-13",5
"2023-02-10",7
"2022-07-13",6
"2022-08-10",2
"2022-11-15",7
"2023-03-26",3
"2022-09-26",4
"2022-10-08",3
"2022-11-27",8
"2022-09-02",3
"2022-07-08",7
"2022-09-04",5
"2022-06-07",6
"2022-10-29",8
"2022-06-20",3
"2022-09-27",8
"2022-07-01",5
"2022-10-04",7
"2022-06-16",6
"2022-06-18",2
"2023-03-26",5
"2022-03-29",6
"2022-11-20",5
"2022-04-20",8
"2023-04-08",5
"2022-03-29",4
"2023-04-04",3
"2022-08-19",2
"2022-09-17",5
"2023-02-17",3
"2022-05-28",4
"2022-10-01",7
"2022-06-18",8
"2023-02-13",1
"2022-04-20",3
"2023-03-16",4
"2022-10-22",4
"2022-06-12",2
"2023-02-27",8
"2022-12-24",5
"2022-09-08",6
"2022-11-14",3
"2023-02-27",4
"2023-01-11",6
"2023-01-14",7
"2022-08-21",7
"2022-07-23",6
"2022-07-14",4
"2022-04-20",7
"2022-06-18",4
"2022-05-02",4
"2022-09-01",6
"2022-12-13",6
"2023-03-17",4
"2023-03-09",7
"2022-04-27",6
"2023-02-02",8
"2022-07-10",5
"2023-02-01",3
"2022-12-14",4
"2023-03-11",6
"2022-05-01",5
"2022-06-01",2
"2023-03-01",3
"2022-04-18",4
"2022-05-04",4
"2022-12-27",3
"2022-12-21",6
"2022-06-13",5
"2023-01-28",2
"2022-09-08",5
"2022-07-18",6
"2022-12-23",2
"2023-03-05",6
"2022-06-06",5
"2022-10-04",8
"2023-01-14",4
"2022-11-27",4
"2022-11-28",5
"2023-03-17",7
"2022-04-06",7
"2022-11-19",6
"2022-05-05",5
"2022-06-27",3
"2022-04-02",4
"2023-01-28",6
"2023-01-05",4
"2022-08-05",5
"2022-05-13",4
"2022-06-28",3
"2023-04-08",2
"2022-05-23",10
"2022-12-27",8
"2022-05-02",8
"2023-01-13",4
"2022-07-17",6
"2022-05-23",2
"2022-06-01",4
"2022-05-25",4
"2022-07-16",8
"2022-12-04",11
"2022-04-14",3
"2022-04-16",5
"2022-12-22",4
"2023-01-30",5
"2022-11-01",9
"2022-06-28",4
"2022-06-27",4
"2022-12-21",8
"2023-03-21",3
"2022-10-16",6
"2022-09-29",3
"2023-03-30",5
"2023-03-09",4
"2023-01-26",3
"2022-11-20",6
"2022-09-26",5
"2022-09-18",3
"2022-11-09",3
"2023-03-11",6
"2022-12-09",6
"2022-03-29",5
"2022-06-26",3
"2022-12-29",2
"2022-07-08",5
"2022-11-06",5
"2022-11-02",4
"2022-04-02",3
"2022-12-23",7
"2022-08-29",6
"2022-06-09",4
