"indexcase","delay"
50,116
568,124
660,63
737,102
213,134
451,131
528,199
603,183
770,191
785,173
817,184
878,130
961,158
1004,142
10,70
378,69
424,103
752,52
194,64
877,53
1116,16
2,101
168,72
180,57
617,81
705,43
852,82
77,154
365,98
715,113
784,110
1045,96
1062,106
1245,155
45,121
637,126
746,125
983,109
402,140
958,141
1015,117
1031,143
71,100
893,84
1110,48
1112,60
264,123
406,105
667,120
965,102
1099,85
1229,72
277,89
442,79
758,97
1076,34
793,39
953,88
1060,103
1235,46
802,90
1033,157
1114,119
230,82
315,112
532,109
219,148
463,154
135,137
236,122
257,152
464,186
475,184
574,169
898,161
1134,157
1243,136
65,106
677,96
750,59
1137,99
1165,109
48,122
231,115
454,130
635,148
910,114
1078,102
1138,170
279,100
323,162
476,106
560,148
565,146
594,106
680,112
809,113
860,103
902,147
1018,153
1242,160
539,100
588,93
856,112
971,56
977,96
1120,112
88,151
132,108
263,155
563,116
663,109
996,154
381,125
1047,145
255,104
624,90
747,103
799,85
986,63
23,56
522,42
919,49
1107,37
1178,70
557,55
640,56
957,111
1049,49
1218,57
68,40
129,65
198,96
500,58
674,46
1149,55
189,148
309,155
730,153
81,42
83,73
203,67
410,53
731,86
774,67
1011,68
1186,49
1197,49
768,45
905,54
1012,51
1166,92
384,128
873,121
112,35
360,46
984,95
1127,83
53,94
105,75
239,107
457,114
571,131
700,78
755,133
798,133
824,134
914,137
1063,128
1091,112
1161,141
1221,105
3,93
398,119
608,112
854,118
969,97
697,102
200,190
489,182
702,185
710,151
11,128
59,128
284,154
448,146
556,160
1113,153
266,195
573,133
1013,127
446,66
503,21
801,29
829,65
952,59
82,102
671,136
895,156
49,86
307,115
760,87
791,82
842,58
847,107
906,63
925,55
1190,103
447,23
598,75
908,73
1202,58
1241,59
111,109
224,82
698,54
719,116
913,49
1005,73
1167,76
708,122
992,91
367,145
501,135
517,133
940,159
420,123
647,85
721,94
259,69
497,78
845,59
863,46
496,194
639,167
51,157
293,167
638,171
767,132
800,193
946,145
1052,150
1196,135
237,128
419,75
636,97
712,85
1105,120
240,69
289,68
656,60
771,110
98,113
575,94
601,99
145,98
1002,150
12,138
30,152
39,107
101,125
161,96
763,147
805,157
954,130
28,131
100,121
117,140
437,147
450,107
690,84
819,78
865,77
943,108
1017,78
1177,100
170,75
345,111
668,87
1035,57
1160,93
184,110
694,155
772,95
1097,133
1183,130
102,68
303,53
981,51
1106,87
623,154
644,127
794,167
148,36
1032,71
40,61
97,86
226,57
339,78
409,94
749,56
830,99
879,46
1180,50
221,177
535,164
934,151
670,189
723,124
204,79
404,67
567,68
920,70
955,96
1145,100
118,68
337,109
387,93
513,109
626,127
718,59
1117,103
1189,63
529,103
887,115
892,110
286,114
525,91
569,77
643,89
1109,79
727,23
928,88
1084,48
76,47
374,37
689,28
765,30
60,87
290,61
542,93
552,62
233,172
294,127
308,124
530,120
684,164
165,162
209,142
300,101
332,99
868,106
915,133
916,107
922,145
1173,123
179,103
273,76
1026,142
531,36
549,88
679,86
692,96
780,27
875,76
73,68
343,77
498,68
502,81
938,96
412,111
614,82
642,133
683,117
711,132
855,121
1143,64
90,47
504,66
555,91
364,93
676,103
1001,81
1092,87
1198,100
1222,60
14,191
430,144
585,183
927,149
1081,169
119,109
160,79
235,97
363,122
646,100
835,108
888,127
988,120
1038,80
225,142
390,177
486,120
814,149
1056,180
177,107
417,155
618,145
1051,118
9,99
128,93
425,138
458,84
483,114
561,122
622,92
921,70
29,144
216,80
262,112
305,124
693,77
766,93
826,83
884,133
295,90
297,68
407,105
494,71
665,100
732,82
816,60
889,126
926,90
963,115
201,81
722,98
735,67
1139,52
621,97
681,106
726,68
929,74
1108,92
1201,99
86,79
659,70
325,80
362,101
973,127
1208,127
545,57
951,63
991,57
5,75
340,110
356,115
583,117
696,101
734,95
786,106
883,95
931,97
1096,135
1155,123
242,123
296,105
335,95
474,95
485,112
1152,107
1164,129
1204,133
106,109
131,113
232,130
383,129
438,97
548,92
587,96
589,78
609,131
907,96
923,94
982,128
1072,85
1089,110
541,163
682,111
1231,138
368,61
499,99
650,105
967,105
995,105
1119,60
313,131
426,122
382,52
441,41
479,58
653,59
787,90
912,65
1087,65
1200,31
142,204
159,146
283,165
533,193
1082,185
1157,201
155,89
158,60
174,102
304,97
519,92
645,93
657,54
1010,72
55,68
328,128
392,101
8,49
421,78
932,112
1147,53
75,131
272,75
440,116
558,75
559,95
1050,76
1094,118
436,50
547,71
89,176
324,150
429,161
857,196
1133,164
1219,163
472,120
738,177
742,148
900,142
1041,136
15,118
274,116
850,140
1020,166
1239,127
775,151
62,64
84,85
144,67
478,39
540,43
876,60
207,98
281,132
641,133
720,104
869,116
870,77
997,94
1064,92
260,62
964,46
38,174
536,155
654,145
471,93
628,72
851,53
897,42
156,78
334,139
399,113
521,131
729,136
776,75
820,90
990,134
1212,90
93,30
369,94
370,41
753,74
1192,79
393,113
779,124
1,10
139,42
245,47
1006,43
1136,6
121,82
355,19
797,72
1111,47
80,70
94,97
394,82
811,104
1080,82
301,172
577,205
651,142
717,141
1073,164
1074,138
1240,147
251,149
352,191
543,159
792,206
1042,160
1061,197
616,158
743,186
212,64
459,108
586,111
748,59
821,73
942,110
947,100
20,77
57,95
600,77
227,76
443,86
1207,75
1230,56
258,99
376,100
1122,121
164,56
320,34
841,66
909,66
1036,80
1083,74
1181,44
1237,71
186,128
648,96
1234,145
306,126
371,125
632,146
652,130
840,121
1037,105
1228,114
31,74
32,90
292,95
466,75
596,65
199,137
299,123
484,121
593,121
1019,80
1067,127
134,158
152,210
298,177
724,144
828,179
985,191
1044,211
1121,170
491,43
625,38
1223,90
229,126
493,134
564,127
836,191
849,192
972,144
1203,128
1217,180
570,79
627,82
825,101
1140,97
1213,53
248,148
607,153
686,124
899,170
903,144
1101,156
1248,138
35,26
124,50
167,41
234,31
606,34
944,87
467,46
945,104
26,110
347,76
550,126
658,61
950,108
187,122
254,151
754,97
917,140
1104,125
1185,155
52,43
271,52
285,52
956,32
1246,28
58,140
211,97
247,155
551,121
619,110
1000,111
1125,160
1206,99
276,163
661,138
687,127
1048,151
1146,160
78,132
321,118
672,161
1187,114
838,104
999,100
1244,101
22,99
468,141
85,88
172,114
196,149
714,88
795,129
70,140
453,76
562,146
16,44
151,22
993,48
1095,86
137,99
149,78
220,93
634,80
933,71
1053,99
1215,110
125,129
664,161
673,140
703,188
1071,134
1123,158
1182,121
1238,188
751,140
99,94
108,95
1059,92
147,107
591,102
886,63
1236,75
133,43
223,36
244,34
584,56
24,183
592,154
195,190
302,130
416,175
615,167
655,150
761,188
834,182
1003,142
110,186
431,156
477,202
1066,168
1214,191
104,46
249,69
566,46
728,93
1102,27
1128,37
445,94
597,94
872,83
291,126
706,124
1028,139
1103,92
120,87
136,90
495,50
515,66
998,74
1194,50
17,97
140,127
882,138
949,90
962,103
1158,79
1162,79
280,93
375,67
385,47
605,46
662,97
685,80
1163,57
252,42
510,82
859,79
1057,59
1131,80
1151,90
413,163
470,174
678,143
810,149
18,64
63,116
396,120
649,80
733,65
874,86
911,124
330,72
331,86
354,52
839,28
208,151
329,155
675,147
744,160
74,120
169,142
507,104
514,128
858,99
1169,136
757,94
789,90
812,96
853,123
1098,115
1220,135
87,43
361,69
790,43
1046,68
43,114
516,103
822,52
891,95
1065,118
1191,61
1226,86
126,146
206,176
256,131
481,141
968,146
1040,169
21,138
238,110
506,92
590,149
843,91
881,127
974,152
1075,112
36,118
333,96
346,63
818,82
1021,59
553,175
773,177
831,185
6,145
157,137
373,157
389,174
56,74
72,45
123,66
222,46
827,64
1009,107
4,166
171,150
415,132
701,195
1024,131
896,81
1224,49
511,108
939,112
1023,138
215,65
348,98
987,94
1188,52
138,129
439,184
862,176
1211,186
433,51
509,59
1247,113
64,186
241,115
372,181
806,156
1008,162
1058,128
188,160
411,107
488,141
833,113
1090,166
941,68
1118,99
107,163
190,152
319,103
357,132
1068,101
42,160
197,169
444,170
610,155
994,126
1176,138
904,62
1250,36
150,59
386,90
460,81
537,59
695,54
1093,38
327,76
523,102
716,82
823,65
844,114
96,149
210,129
546,148
740,117
782,114
813,148
980,154
1171,99
217,80
428,83
725,66
936,74
163,157
581,124
1030,120
1209,113
67,44
268,64
359,14
391,20
713,57
61,19
154,87
336,31
449,51
469,61
492,45
707,68
13,85
33,91
250,149
349,138
846,143
885,104
1154,100
103,149
127,132
435,168
465,113
1115,133
1195,166
185,133
312,141
318,180
351,139
1135,128
520,144
595,125
978,176
341,102
395,71
487,116
1144,74
246,132
253,96
269,117
338,76
736,124
1055,124
143,86
310,80
764,94
959,135
146,70
182,29
473,32
918,74
1025,56
47,73
432,67
580,70
1054,36
388,103
669,75
1022,77
44,134
1225,159
414,123
434,139
462,99
582,93
602,110
837,137
1150,80
1174,108
1179,126
1199,85
130,65
267,21
322,48
366,34
380,55
629,80
631,37
815,59
270,117
405,82
630,115
699,117
866,56
924,105
979,65
1029,114
95,91
265,105
871,112
894,118
193,117
612,109
937,99
1014,108
1193,100
1210,58
7,114
554,147
34,102
480,88
709,141
1016,88
181,81
191,89
526,79
1088,100
175,144
192,138
316,162
452,174
759,146
970,164
1130,145
1249,144
25,159
27,148
162,152
173,168
379,143
691,130
777,170
935,172
1070,157
1079,132
1233,129
178,145
769,120
1124,144
353,66
401,54
403,22
427,41
1077,41
282,164
576,164
620,157
633,149
41,57
153,104
166,39
205,36
762,94
69,123
91,141
92,148
400,130
422,162
527,162
572,164
788,144
989,138
278,175
745,118
1027,184
1129,185
538,93
778,105
832,99
1126,112
358,93
704,67
848,76
890,62
1007,46
1132,36
1156,82
1170,67
214,96
243,117
930,113
326,167
456,120
518,146
688,137
1153,184
1216,152
54,89
377,122
948,90
604,190
966,161
1034,183
1069,210
1086,187
79,130
317,150
524,137
1085,145
739,133
783,111
901,110
19,114
505,74
512,79
756,111
861,101
1142,63
228,31
397,67
490,50
534,45
1141,91
116,159
741,163
1148,156
37,124
408,91
613,103
418,38
864,49
867,36
1159,51
1168,96
1227,90
66,83
183,60
202,71
344,84
578,94
611,28
115,99
288,90
342,86
808,81
1175,73
113,96
114,117
176,109
287,55
1039,93
261,99
508,153
666,106
803,114
804,112
482,146
579,170
880,107
976,136
1205,103
109,125
599,116
1172,145
1184,98
455,105
461,143
960,136
218,125
423,147
781,140
796,138
807,97
1043,121
1232,111
46,139
122,157
275,145
311,135
975,147
1100,127
141,129
314,84
350,74
544,104
